id,name,category,lat,lon,state,source,metadata_json
mil_f573a5d2-2916-404e-b39b-b50b77e9a658,Aliamanu Military Reservation,military_base,21.36023000,-157.91560000,HI,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""ALIAMANU MILITARY RESERVATION"",""matched_frs_registry_id"":""110022309090""}"
mil_38d53478-968b-4491-9159-6f0f51262cab,Arlington National Cemetery,military_base,38.87777800,-77.07138900,VA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""ARLINGTON NATIONAL CEMETERY"",""matched_frs_registry_id"":""110006883435""}"
mil_4ab3d989-95e4-45fd-91c2-19b9130a7e37,Blue Grass Army Depot,military_base,37.67950000,-84.25651000,KY,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""BLUE GRASS ARMY DEPOT"",""matched_frs_registry_id"":""110071892463""}"
mil_07f1633b-a905-49f2-8985-f6431af55d8c,Camp Dodge,military_base,41.68848000,-93.71204000,IA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""armyNationalGuard"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""CAMP DODGE"",""matched_frs_registry_id"":""110036386470""}"
mil_51e906dc-3cdd-4b03-b18f-6bd38cd72e56,Carlisle Barracks,military_base,40.21055600,-77.17500000,PA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""CARLISLE BARRACKS"",""matched_frs_registry_id"":""110070552860""}"
mil_c663ab45-3189-4363-9867-88bb5a610047,Military Ocean Terminal Concord,military_base,38.03354000,-122.00864000,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MILITARY OCEAN TERMINAL CONCORD"",""matched_frs_registry_id"":""110021089613""}"
mil_39cbe428-72e9-4e4b-ac02-f31d05541984,Camp Frank D Merrill,military_base,34.62270900,-84.10383500,GA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""CAMP FRANK D MERRILL"",""matched_frs_registry_id"":""110006901932""}"
mil_6c4f7f4c-9ffd-4b61-87df-45500bb177d6,Defense Supply Center Columbus,military_base,39.97405000,-82.89446000,OH,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""DEFENSE SUPPLY CENTER, COLUMBUS"",""matched_frs_registry_id"":""110031535088""}"
mil_a3f58d58-abe5-42d7-b117-7d6c3a0aaf9c,Tooele Army Depot,military_base,40.49922800,-112.32567500,UT,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""TOOELE ARMY DEPOT"",""matched_frs_registry_id"":""110056358025""}"
mil_b741b905-0e02-4531-b734-a1dfd7992b6c,Fort Benjamin Harrison,military_base,39.85938600,-85.99729800,IN,BTS_MIL_BASES,"{""site_operational_status"":""clsd"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""FORT BENJAMIN HARRISON"",""matched_frs_registry_id"":""110071725163""}"
mil_841114f1-ee80-4864-9dc1-398fb9ce42a5,Fort Benning,military_base,32.35222200,-84.96888900,GA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usa"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""FORT BENNING"",""matched_frs_registry_id"":""110061013291""}"
