id,name,category,lat,lon,state,source,metadata_json,external_id
superfund_CTD001452093,DURHAM MEADOWS,superfund_npl,41.47701336,-72.68083447,CT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""CTD001452093""}",CTD001452093
superfund_VTD000860239,OLD SPRINGFIELD LANDFILL,superfund_npl,43.27331793,-72.46495076,VT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""VTD000860239""}",VTD000860239
superfund_VTD981062441,PARKER SANITARY LANDFILL,superfund_npl,44.51667008,-71.99219127,VT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""VTD981062441""}",VTD981062441
superfund_VTD980523062,PINE STREET CANAL,superfund_npl,44.46535674,-73.21699981,VT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""VTD980523062""}",VTD980523062
superfund_NHD980671069,SOUTH MUNICIPAL WATER SUPPLY WELL,superfund_npl,42.85148718,-71.96507589,NH,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""NHD980671069""}",NHD980671069
superfund_NHD981889629,MOHAWK TANNERY,superfund_npl,42.76442933,-71.48605569,NH,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""NHD981889629""}",NHD981889629
superfund_MAD079510780,CANNON ENGINEERING CORP. (CEC),superfund_npl,41.97222316,-71.02484948,MA,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MAD079510780""}",MAD079510780
superfund_MAD980732341,HOCOMONCO POND,superfund_npl,42.27251339,-71.64606517,MA,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MAD980732341""}",MAD980732341
superfund_CTD001153923,LINEMASTER SWITCH CORP.,superfund_npl,41.93993280,-71.96648750,CT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""CTD001153923""}",CTD001153923
superfund_MAD980731335,NEW BEDFORD,superfund_npl,41.57553915,-70.89573937,MA,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MAD980731335""}",MAD980731335
superfund_MED980732291,PINETTE'S SALVAGE YARD,superfund_npl,46.77823094,-68.16960034,ME,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MED980732291""}",MED980732291
superfund_MAD980520696,SUTTON BROOK DISPOSAL AREA,superfund_npl,42.59424602,-71.17804601,MA,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MAD980520696""}",MAD980520696
superfund_CTD001186618,"RAYMARK INDUSTRIES, INC.",superfund_npl,41.18589216,-73.11920713,CT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""CTD001186618""}",CTD001186618
superfund_MAD980732168,WELLS G&H,superfund_npl,42.49754638,-71.12884750,MA,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MAD980732168""}",MAD980732168
superfund_NHD001091453,NEW HAMPSHIRE PLATING CO.,superfund_npl,42.85329135,-71.48674420,NH,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""NHD001091453""}",NHD001091453
superfund_NHD980503361,MOTTOLO PIG FARM,superfund_npl,42.98944722,-71.17427313,NH,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""NHD980503361""}",NHD980503361
superfund_MED981073711,EASTERN SURPLUS,superfund_npl,45.03936677,-67.35783843,ME,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MED981073711""}",MED981073711
superfund_MED980731475,O'CONNOR CO.,superfund_npl,44.30335661,-69.73727821,ME,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MED980731475""}",MED980731475
superfund_MED980520241,SACO TANNERY WASTE PITS,superfund_npl,43.56217601,-70.42249578,ME,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MED980520241""}",MED980520241
superfund_VTD000509174,"TANSITOR ELECTRONICS, INC.",superfund_npl,42.87763340,-73.26531740,VT,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""VTD000509174""}",VTD000509174
superfund_MED042143883,"UNION CHEMICAL CO., INC.",superfund_npl,44.21431113,-69.19645775,ME,EPA NPL Superfund,"{""layer"":""SITE_BOUNDARIES_SF"",""geometry_fallback"":""centroid"",""external_id"":""MED042143883""}",MED042143883
